{ r: 3, n: 4, det_states: 7, det_time: 0, me_states: 7, me_time: 0  }
{ r: 3, n: 4, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 4, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 3, n: 3, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 3, n: 3, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 5, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 5, det_states: 56, det_time: 0, me_states: 42, me_time: 0  }
{ r: 3, n: 3, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 3, n: 5, det_states: 17, det_time: 0, me_states: 16, me_time: 0  }
{ r: 3, n: 5, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 3, n: 5, det_states: 12, det_time: 0, me_states: 12, me_time: 0  }
{ r: 3, n: 5, det_states: 60, det_time: 0, me_states: 51, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 4, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 4, n: 5, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 4, n: 5, det_states: 6, det_time: 0, me_states: 6, me_time: 0  }
{ r: 4, n: 4, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 4, n: 5, det_states: 32, det_time: 0, me_states: 26, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 6, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 6, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 5, det_states: 2, det_time: 0, me_states: 2, me_time: 0  }
{ r: 3, n: 6, det_states: 66, det_time: 0, me_states: 64, me_time: 0  }
{ r: 3, n: 6, det_states: 72, det_time: 0, me_states: 66, me_time: 0  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 5, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 4, n: 6, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 4, n: 6, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 6, det_states: 12, det_time: 0, me_states: 12, me_time: 0  }
{ r: 4, n: 6, det_states: 114, det_time: 0, me_states: 81, me_time: 0  }
{ r: 4, n: 6, det_states: 135, det_time: 0, me_states: 94, me_time: 0  }
{ r: 4, n: 6, det_states: 102, det_time: 0, me_states: 87, me_time: 0  }
{ r: 5, n: 6, det_states: 8, det_time: 0, me_states: 8, me_time: 0  }
{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 6, det_states: 50, det_time: 0, me_states: 38, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
